Wall time,Step,Value
1493802140.121958,99999,-0.06520000100135803
1493802699.636031,149999,-0.06554000079631805
1493803262.438618,199999,-0.06672000139951706
1493803815.216982,249999,-0.06741999834775925
1493804426.950629,299999,-0.06651999801397324
1493805034.479696,349999,-0.06741999834775925
1493805599.923065,399999,-0.06633999943733215
1493806182.69857,449999,-0.0652799978852272
1493806755.713872,499999,-0.06437999755144119
1493807342.896223,549999,-0.06493999809026718
1493807917.250153,599999,-0.06350000202655792
1493808520.310414,649999,-0.05689999833703041
1493809152.191028,699999,-0.051500000059604645
1493809800.060507,749999,-0.047359999269247055
1493810428.827898,799999,-0.042660001665353775
1493811083.693522,849999,-0.039820000529289246
1493811726.862241,899999,-0.036720000207424164
1493812381.259062,949999,-0.030079999938607216
1493813010.868236,999999,-0.02687999978661537
1493813630.76587,1049999,-0.025779999792575836
1493814264.951412,1099999,-0.024159999564290047
1493814904.397254,1149999,-0.02386000007390976
1493815530.090467,1199999,-0.022460000589489937
1493816143.124151,1249999,-0.021980000659823418
1493816742.395394,1299999,-0.021719999611377716
1493817341.817394,1349999,-0.01947999931871891
1493817950.421779,1399999,-0.01964000053703785
1493818578.318491,1449999,-0.018120000138878822
1493819198.739227,1499999,-0.019279999658465385
1493819828.627482,1549999,-0.01721999980509281
1493820423.921456,1599999,-0.01882000081241131
1493821110.323202,1649999,-0.01761999912559986
1493821737.899501,1699999,-0.017640000209212303
1493822386.065022,1749999,-0.017659999430179596
1493823172.67385,1799999,-0.01582000032067299
1493823768.961336,1849999,-0.016920000314712524
1493824384.953374,1899999,-0.013580000028014183
1493824995.665832,1949999,-0.012400000356137753
1493825592.065552,1999999,-0.012860000133514404
1493826199.766201,2049999,-0.011780000291764736
1493826796.956773,2099999,-0.011420000344514847
1493827402.035735,2149999,-0.012520000338554382
1493828010.429071,2199999,-0.010780000127851963
1493828612.083702,2249999,-0.012059999629855156
1493829212.316725,2299999,-0.009920000098645687
1493829821.653838,2349999,-0.010040000081062317
1493830439.805362,2399999,-0.0083600003272295
1493831043.687196,2449999,-0.00812000036239624
1493831655.86318,2499999,-0.006920000072568655
1493832262.25389,2549999,-0.007160000037401915
1493832871.728546,2599999,-0.007519999984651804
1493833477.931333,2649999,-0.00675999978557229
1493834092.684575,2699999,-0.0069599999114871025
1493834700.558325,2749999,-0.006519999820739031
1493835339.750504,2799999,-0.007180000189691782
1493835944.212151,2849999,-0.006940000224858522
1493836552.479967,2899999,-0.006279999855905771
1493837158.706074,2949999,-0.006300000008195639
1493837763.727523,2999999,-0.00547999981790781
1493838373.315957,3049999,-0.003819999983534217
1493838995.593405,3099999,-0.003700000001117587
1493839595.544954,3149999,-0.0049600000493228436
1493840243.693812,3199999,-0.005419999826699495
1493840852.165212,3249999,-0.0034600000362843275
1493841455.374748,3299999,-0.004459999967366457
1493842051.413115,3349999,-0.002859999891370535
1493842651.247729,3399999,-0.003019999945536256
1493843261.201696,3449999,-0.0033400000538676977
1493843889.632676,3499999,-0.0024999999441206455
1493844485.401179,3549999,-0.003060000017285347
1493845087.849513,3599999,-0.002259999979287386
1493845680.07007,3649999,-0.0017999999690800905
1493846283.941873,3699999,-0.0026400000788271427
1493846881.369527,3749999,-0.001019999966956675
1493847496.748147,3799999,-0.002520000096410513
1493848101.855325,3849999,-0.0017399999778717756
1493848706.723,3899999,-0.001019999966956675
1493849316.880545,3949999,0.000699999975040555
1493849906.746193,3999999,-0.0014199999859556556
1493850502.230155,4049999,-0.002400000113993883
1493851098.588203,4099999,-0.0014600000577047467
1493851703.544164,4149999,-0.0011399999493733048
1493852461.419899,4199999,-0.0017600000137463212
1493853057.182457,4249999,-0.0004799999878741801
1493853653.43387,4299999,-0.0003800000122282654
1493854248.478471,4349999,0.0004799999878741801
1493854849.315634,4399999,-0.0006000000284984708
1493855501.929337,4449999,-0.0017999999690800905
1493856102.683707,4499999,-0.0008399999933317304
1493856847.626183,4549999,-0.0007399999885819852
1493857495.870569,4599999,0.0
1493858102.066009,4649999,-0.0004600000102072954
1493858699.809235,4699999,0.0004400000034365803
1493859296.920552,4749999,0.0012199999764561653
1493859913.454006,4799999,9.999999747378752e-05
1493860515.167362,4849999,0.000859999970998615
1493861117.674352,4899999,-0.0008800000068731606
1493861726.250495,4949999,0.0008200000156648457
1493862324.383464,4999999,-0.0003600000054575503
1493862946.916008,5049999,0.0005799999926239252
1493863547.24397,5099999,0.00023999999393709004
1493864278.42159,5149999,0.0003600000054575503
1493864873.467627,5199999,0.0007399999885819852
1493865707.466131,5249999,5.999999848427251e-05
1493866429.369415,5299999,1.9999999494757503e-05
1493867063.532605,5349999,0.00031999999191612005
1493867778.847179,5399999,-0.0003000000142492354
1493868440.58026,5449999,-0.00015999999595806003
1493869032.36313,5499999,0.0004799999878741801
1493869624.6296,5549999,1.9999999494757503e-05
1493870223.003988,5599999,0.0002800000074785203
1493870827.330056,5649999,-0.00018000000272877514
1493871586.153614,5699999,0.00018000000272877514
1493872186.337797,5749999,0.002139999996870756
1493872786.951872,5799999,0.0012600000482052565
1493873510.919548,5849999,0.0008399999933317304
1493874102.473139,5899999,0.000699999975040555
1493874807.49521,5949999,0.00107999995816499
1493875449.945273,5999999,0.0004600000102072954
1493876075.672854,6049999,0.0009800000116229057
1493876673.390406,6099999,0.0014199999859556556
1493877259.957456,6149999,0.00039999998989515007
1493877854.130038,6199999,0.00171999994199723
1493878446.919302,6249999,0.002520000096410513
1493879043.543053,6299999,0.00215999991632998
1493879631.936394,6349999,0.0010999999940395355
1493880222.571867,6399999,0.00022000000171829015
1493880817.09546,6449999,0.0008999999845400453
1493881409.060554,6499999,0.00171999994199723
1493881999.39205,6549999,0.002319999970495701
1493882599.689812,6599999,0.0015800000401213765
1493883254.136688,6649999,0.0015200000489130616
1493883877.797492,6699999,0.0035000001080334187
1493884487.083072,6749999,0.002839999971911311
1493885120.144522,6799999,0.0031999999191612005
1493885710.409858,6849999,0.002219999907538295
1493886304.259234,6899999,0.0025599999353289604
1493886893.007089,6949999,0.000699999975040555
1493887490.105775,6999999,0.0008399999933317304
1493888091.76366,7049999,0.002319999970495701
1493888691.00538,7099999,0.002199999988079071
1493889279.11392,7149999,0.0014400000218302011
1493889876.694865,7199999,0.0018400000408291817
1493890495.742441,7249999,0.0019199999514967203
1493891081.136637,7299999,0.0021200000774115324
1493891671.033386,7349999,0.001979999942705035
1493892292.938613,7399999,0.002420000033453107
1493892878.169399,7449999,0.002959999954327941
1493893511.326774,7499999,0.002899999963119626
1493894209.721357,7549999,0.0034199999645352364
1493894806.00194,7599999,0.0020200000144541264
1493895402.325904,7649999,0.0024800000246614218
1493896115.3817,7699999,0.0037799999117851257
1493896945.595608,7749999,0.0012799999676644802
1493897547.33053,7799999,0.002219999907538295
1493898143.939285,7849999,0.0021200000774115324
1493898824.999768,7899999,0.0024800000246614218
1493899414.127781,7949999,0.0017399999778717756
1493900011.703398,7999999,0.0007600000244565308
1493900621.874214,8049999,0.0024399999529123306
1493901215.517631,8099999,0.0024999999441206455
1493901823.573891,8149999,0.0029200001154094934
1493902429.878575,8199999,0.0029200001154094934
1493903031.095345,8249999,0.0027199999894946814
1493903631.113964,8299999,0.0030799999367445707
1493904230.117593,8349999,0.0028800000436604023
1493904810.267091,8399999,0.003920000046491623
1493905386.96565,8449999,0.00267999991774559
1493905963.715319,8499999,0.001560000004246831
1493906540.369942,8549999,0.0031799999997019768
1493907118.323841,8599999,0.0031399999279528856
1493907878.669824,8649999,0.004600000102072954
1493908730.276172,8699999,0.003719999920576811
1493909601.573963,8749999,0.0030799999367445707
1493910451.67952,8799999,0.0034199999645352364
1493911311.741477,8849999,0.002940000034868717
1493912171.089178,8899999,0.0033599999733269215
1493913020.906591,8949999,0.003160000080242753
1493913876.249498,8999999,0.0027600000612437725
1493914711.196906,9049999,0.0020600000862032175
1493915418.762873,9099999,0.0034199999645352364
1493916161.769385,9149999,0.0037400000728666782
1493916879.555618,9199999,0.0031799999997019768
1493917671.096304,9249999,0.0024999999441206455
1493918417.105867,9299999,0.0037400000728666782
1493919186.161876,9349999,0.0030400000978261232
1493919941.170096,9399999,0.003599999938160181
1493920670.411355,9449999,0.00443999981507659
1493921423.613317,9499999,0.0035000001080334187
1493922391.83031,9549999,0.003000000026077032
1493923565.090831,9599999,0.0027799999807029963
1493924737.945185,9649999,0.0028800000436604023
1493925842.621909,9699999,0.0033400000538676977
1493926630.035402,9749999,0.0033400000538676977
1493927235.26306,9799999,0.00430000014603138
1493927838.174674,9849999,0.0037400000728666782
1493928484.225474,9899999,0.002420000033453107
1493929550.213765,9949999,0.004840000066906214
1493930644.761266,9999999,0.0031799999997019768
1493931687.813603,10049999,0.005200000014156103
1493932318.720153,10099999,0.0044200001284480095
1493932934.300929,10149999,0.0027600000612437725
1493933982.245883,10199999,0.004579999949783087
1493935090.601377,10249999,0.002240000059828162
1493936166.496341,10299999,0.003019999945536256
1493937268.629737,10349999,0.002839999971911311
1493938355.979524,10399999,0.003379999892786145
1493939424.317967,10449999,0.003060000017285347
1493940459.768645,10499999,0.0026199999265372753
1493941527.945859,10549999,0.0038399999029934406
1493942583.5343,10599999,0.0052200001664459705
1493943657.911711,10649999,0.0020000000949949026
1493944676.185047,10699999,0.003819999983534217
1493945703.201333,10749999,0.003160000080242753
1493946759.295487,10799999,0.0033599999733269215
1493947819.551039,10849999,0.0029200001154094934
1493948639.108488,10899999,0.0032999999821186066
1493949226.353741,10949999,0.004040000028908253
1493949813.341244,10999999,0.003060000017285347
1493950449.893674,11049999,0.0024800000246614218
1493951561.028675,11099999,0.003539999946951866
1493952269.259122,11149999,0.005280000157654285
1493952884.521309,11199999,0.0029200001154094934
1493953499.788433,11249999,0.0040799998678267
1493954115.41374,11299999,0.0031999999191612005
1493954730.300323,11349999,0.004739999771118164
1493955317.337761,11399999,0.0038799999747425318
1493955905.300411,11449999,0.0027600000612437725
1493956493.010193,11499999,0.0034000000450760126
1493957080.940367,11549999,0.0026599999982863665
1493958104.143986,11599999,0.004819999914616346
1493959141.795786,11649999,0.0031799999997019768
1493960175.656178,11699999,0.004619999788701534
1493961236.100272,11749999,0.004619999788701534
1493962282.609346,11799999,0.004900000058114529
1493963351.56314,11849999,0.00419999985024333
1493964391.345436,11899999,0.004519999958574772
1493965442.875124,11949999,0.0032599999103695154
1493966487.085813,11999999,0.003920000046491623
1493967536.591811,12049999,0.003719999920576811
1493968589.623433,12099999,0.0026400000788271427
1493969653.761446,12149999,0.0024800000246614218
1493970720.50887,12199999,0.004279999993741512
1493971774.485575,12249999,0.0034600000362843275
1493972856.156944,12299999,0.004259999841451645
1493973933.699608,12349999,0.004360000137239695
1493974754.320103,12399999,0.003819999983534217
1493975496.705615,12449999,0.0020000000949949026
1493976324.054614,12499999,0.002899999963119626
1493977084.598303,12549999,0.003719999920576811
1493977889.261887,12599999,0.0041600000113248825
1493978657.39416,12649999,0.004840000066906214
1493979496.262838,12699999,0.003539999946951866
1493980267.785888,12749999,0.0029800001066178083
1493981067.3952,12799999,0.005400000140070915
1493981856.065027,12849999,0.00406000018119812
1493982600.931321,12899999,0.003819999983534217
1493983316.193363,12949999,0.0037400000728666782
1493983894.925312,12999999,0.003640000009909272
1493984476.090097,13049999,0.003640000009909272
1493985056.111399,13099999,0.00394000019878149
1493985939.957444,13149999,0.003220000071451068
1493986841.682112,13199999,0.002300000051036477
1493987618.351406,13249999,0.003719999920576811
1493988390.111281,13299999,0.0038999998942017555
1493989280.674946,13349999,0.003700000001117587
1493990190.185832,13399999,0.0031799999997019768
1493991093.401921,13449999,0.0036800000816583633
1493991997.931974,13499999,0.004379999823868275
1493992877.716237,13549999,0.0044200001284480095
1493993623.27721,13599999,0.005439999978989363
1493994490.154312,13649999,0.004000000189989805
1493995396.662007,13699999,0.0033599999733269215
1493996301.10487,13749999,0.002739999908953905
1493997210.590232,13799999,0.005040000192821026
1493998102.870907,13849999,0.0044999998062849045
1493999004.720901,13899999,0.0038999998942017555
1493999909.590353,13949999,0.003920000046491623
1494000792.625287,13999999,0.0035800000187009573
1494001702.137886,14049999,0.004040000028908253
1494002584.666059,14099999,0.004819999914616346
1494003490.295909,14149999,0.003640000009909272
1494004276.674827,14199999,0.002899999963119626
1494005095.446092,14249999,0.003719999920576811
1494006001.762494,14299999,0.0026199999265372753
1494006884.801919,14349999,0.003719999920576811
1494007595.220911,14399999,0.003120000008493662
1494008162.705748,14449999,0.0031399999279528856
1494008729.876697,14499999,0.004220000002533197
1494009299.609625,14549999,0.004879999905824661
1494009871.238368,14599999,0.003700000001117587
1494010444.230456,14649999,0.005379999987781048
1494011014.415719,14699999,0.004279999993741512
1494011585.23938,14749999,0.0032599999103695154
1494012156.014099,14799999,0.004000000189989805
1494012726.986151,14849999,0.003759999992325902
1494013297.858963,14899999,0.004980000201612711
1494013870.149453,14949999,0.005779999773949385
1494014440.813157,14999999,0.0044200001284480095
1494015012.755115,15049999,0.005880000069737434
1494015584.859342,15099999,0.005179999861866236
1494016155.06923,15149999,0.003860000055283308
1494016724.607115,15199999,0.005040000192821026
1494017296.407472,15249999,0.004999999888241291
1494017863.59326,15299999,0.0052999998442828655
1494018431.029647,15349999,0.003640000009909272
1494018996.643291,15399999,0.004019999876618385
1494019562.656193,15449999,0.005080000031739473
1494020131.140137,15499999,0.006459999829530716
1494020698.479311,15549999,0.0040799998678267
1494021270.650971,15599999,0.006300000008195639
1494021845.536543,15649999,0.005859999917447567
1494022419.623423,15699999,0.005239999853074551
1494022993.800859,15749999,0.004739999771118164
1494023576.735668,15799999,0.005760000087320805
1494024168.9817,15849999,0.005940000060945749
1494024771.706345,15899999,0.005940000060945749
1494025372.047913,15949999,0.005859999917447567
1494025973.177027,15999999,0.006459999829530716
1494026573.378148,16049999,0.0064199999906122684
1494027172.420979,16099999,0.005160000175237656
1494027774.789002,16149999,0.007319999858736992
1494028388.832083,16199999,0.006300000008195639
1494029005.923414,16249999,0.0069599999114871025
1494029623.87721,16299999,0.006920000072568655
1494030241.453031,16349999,0.006020000204443932
1494030836.231051,16399999,0.0074800001457333565
1494031417.036356,16449999,0.007699999958276749
1494031996.968601,16499999,0.006899999920278788
1494032595.66196,16549999,0.004579999949783087
1494033234.017457,16599999,0.006920000072568655
1494033874.98016,16649999,0.006459999829530716
1494034520.653325,16699999,0.006920000072568655
1494035151.643507,16749999,0.007499999832361937
1494035848.927663,16799999,0.0077599999494850636
1494036486.945044,16849999,0.0060800001956522465
1494037121.244883,16899999,0.007579999975860119
1494037751.260062,16949999,0.00686000008136034
1494038393.025528,16999999,0.00675999978557229
1494039035.683343,17049999,0.007120000198483467
1494039725.887322,17099999,0.00851999968290329
1494040440.81653,17149999,0.00848000030964613
1494041151.861194,17199999,0.008139999583363533
1494041881.691836,17249999,0.007300000172108412
1494042618.556356,17299999,0.006599999964237213
1494043314.601557,17349999,0.0060800001956522465
1494043901.085428,17399999,0.007579999975860119
1494044467.816477,17449999,0.007319999858736992
1494045034.741602,17499999,0.006719999946653843
1494045602.570527,17549999,0.007720000110566616
1494046170.823452,17599999,0.007639999967068434
1494046738.844196,17649999,0.007400000002235174
1494047307.435169,17699999,0.00803999975323677
1494047875.314457,17749999,0.0083600003272295
1494048433.773422,17799999,0.00848000030964613
1494048991.303461,17849999,0.007699999958276749
1494049559.4781,17899999,0.008200000040233135
1494050127.363687,17949999,0.007939999923110008
1494050696.210487,17999999,0.008379999548196793
1494051263.422317,18049999,0.009239999577403069
1494051832.258868,18099999,0.008100000210106373
1494052400.493511,18149999,0.008740000426769257
1494052967.783355,18199999,0.008100000210106373
1494053536.040201,18249999,0.009580000303685665
1494054081.39892,18299999,0.00800000037997961
