Wall time,Step,Value
1493808853.597382,99999,-1.0
1493809450.148258,149999,-1.0
1493810054.678438,199999,-6.0
1493810664.220702,249999,-7.0
1493811281.088335,299999,-14.0
1493811902.328533,349999,-17.0
1493812529.687902,399999,-14.0
1493813171.067634,449999,-3.0
1493813813.315809,499999,-5.0
1493814437.974432,549999,-16.0
1493815070.45785,599999,-5.0
1493815721.728345,649999,-16.0
1493816380.747165,699999,-12.0
1493817047.039835,749999,-12.0
1493817718.334093,799999,-13.0
1493818395.165841,849999,-14.0
1493819078.081532,899999,-13.0
1493819765.570198,949999,-12.0
1493820456.178336,999999,-8.0
1493821154.843091,1049999,-4.0
1493821864.788492,1099999,-1.0
1493822551.546663,1149999,-6.0
1493823245.743112,1199999,-1.0
1493823937.777455,1249999,-5.0
1493824631.377072,1299999,-1.0
1493825327.37502,1349999,-4.0
1493826022.67698,1399999,-5.0
1493826721.035984,1449999,0.0
1493827417.836002,1499999,-2.0
1493828115.294598,1549999,-3.0
1493828821.690626,1599999,-1.0
1493829521.810278,1649999,-4.0
1493830209.242508,1699999,-2.0
1493830898.926104,1749999,1.0
1493831590.956557,1799999,-5.0
1493832283.173895,1849999,-2.0
1493832978.873077,1899999,-1.0
1493833674.906754,1949999,1.0
1493834371.602792,1999999,1.0
1493835067.045354,2049999,0.0
1493835763.373887,2099999,0.0
1493836469.056295,2149999,4.0
1493837169.244514,2199999,0.0
1493837843.382104,2249999,5.0
1493838518.779161,2299999,11.0
1493839196.158648,2349999,6.0
1493839875.70303,2399999,0.0
1493840558.036314,2449999,6.0
1493841240.185094,2499999,1.0
1493841923.321832,2549999,11.0
1493842606.524054,2599999,7.0
1493843290.164369,2649999,2.0
1493843976.65481,2699999,3.0
1493844663.188743,2749999,10.0
1493845350.028681,2799999,7.0
1493846050.642968,2849999,12.0
1493846732.245287,2899999,6.0
1493847399.504395,2949999,2.0
1493848066.108271,2999999,10.0
1493848731.585477,3049999,12.0
1493849392.30834,3099999,9.0
1493850054.807856,3149999,11.0
1493850715.380553,3199999,11.0
1493851376.378394,3249999,5.0
1493852037.157467,3299999,3.0
1493852696.896893,3349999,12.0
1493853356.155826,3399999,10.0
1493854015.493463,3449999,10.0
1493854674.743469,3499999,4.0
1493855334.538028,3549999,12.0
1493855994.862376,3599999,7.0
1493856655.589896,3649999,15.0
1493857315.862197,3699999,12.0
1493857975.768374,3749999,12.0
1493858634.834086,3799999,4.0
1493859294.942906,3849999,12.0
1493859956.197811,3899999,9.0
1493860615.11679,3949999,11.0
1493861277.167259,3999999,11.0
1493861935.51786,4049999,13.0
1493862597.727631,4099999,11.0
1493863259.736643,4149999,11.0
1493863917.961311,4199999,6.0
1493864578.73716,4249999,14.0
1493865237.594278,4299999,8.0
1493865899.078515,4349999,11.0
1493866558.839477,4399999,13.0
1493867219.758304,4449999,10.0
1493867881.578315,4499999,10.0
1493868539.614828,4549999,13.0
1493869200.648406,4599999,12.0
1493869860.634241,4649999,12.0
1493870521.13848,4699999,11.0
1493871180.653433,4749999,12.0
1493871841.842976,4799999,9.0
1493872503.582704,4849999,14.0
1493873161.888394,4899999,12.0
1493873823.39123,4949999,12.0
1493874484.110095,4999999,9.0
1493875142.881562,5049999,11.0
1493875804.621274,5099999,10.0
1493876464.102315,5149999,7.0
1493877124.873599,5199999,13.0
1493877785.944884,5249999,11.0
1493878445.575358,5299999,9.0
1493879107.167961,5349999,12.0
1493879768.863484,5399999,9.0
1493880428.175866,5449999,10.0
1493881090.328273,5499999,10.0
1493881751.942263,5549999,18.0
1493882413.757153,5599999,15.0
1493883074.920435,5649999,8.0
1493883736.563579,5699999,15.0
1493884398.348183,5749999,14.0
1493885057.948152,5799999,13.0
1493885719.788471,5849999,11.0
1493886378.332298,5899999,14.0
1493887041.101532,5949999,12.0
1493887702.924692,5999999,11.0
1493888361.662382,6049999,13.0
1493889023.96747,6099999,10.0
1493889685.369249,6149999,8.0
1493890344.856594,6199999,14.0
1493891006.705755,6249999,10.0
1493891669.733055,6299999,10.0
1493892331.990521,6349999,10.0
1493892991.164656,6399999,11.0
1493893653.507889,6449999,14.0
1493894313.159852,6499999,10.0
1493894975.595813,6549999,14.0
1493895638.702263,6599999,14.0
1493896298.220027,6649999,7.0
1493896961.766056,6699999,11.0
1493897624.548332,6749999,11.0
1493898286.64184,6799999,16.0
1493898948.676645,6849999,12.0
1493899612.050512,6899999,13.0
1493900275.396898,6949999,11.0
1493900935.314566,6999999,17.0
1493901597.204287,7049999,12.0
1493902256.928139,7099999,17.0
1493902919.385867,7149999,10.0
1493903581.383267,7199999,19.0
1493904243.05861,7249999,17.0
1493904907.051204,7299999,15.0
1493905570.518949,7349999,14.0
1493906230.739705,7399999,10.0
1493906892.578439,7449999,11.0
1493907554.425388,7499999,13.0
1493908217.602262,7549999,11.0
1493908877.628664,7599999,12.0
1493909540.792927,7649999,15.0
1493910200.397665,7699999,11.0
1493910863.478035,7749999,10.0
1493911527.689546,7799999,14.0
1493912187.984889,7849999,18.0
1493912849.842988,7899999,15.0
1493913512.604076,7949999,10.0
1493914173.559283,7999999,15.0
1493914836.968637,8049999,13.0
1493915500.653922,8099999,14.0
1493916161.304901,8149999,15.0
1493916821.304799,8199999,15.0
1493917483.892309,8249999,15.0
1493918143.827308,8299999,14.0
1493918805.944377,8349999,15.0
1493919468.905396,8399999,14.0
1493920128.255887,8449999,13.0
1493920790.458784,8499999,15.0
1493921451.81836,8549999,14.0
1493922111.232475,8599999,14.0
1493922773.096786,8649999,17.0
1493923435.378429,8699999,12.0
1493924098.409649,8749999,15.0
1493924758.008685,8799999,13.0
1493925419.080605,8849999,13.0
1493926080.134291,8899999,15.0
1493926739.566449,8949999,16.0
1493927401.900469,8999999,16.0
1493928061.191652,9049999,17.0
1493928722.520566,9099999,13.0
1493929383.457143,9149999,13.0
1493930044.906561,9199999,13.0
1493930704.908821,9249999,17.0
1493931366.034868,9299999,11.0
1493932027.227072,9349999,14.0
1493932688.452946,9399999,14.0
1493933349.46012,9449999,14.0
1493934009.825058,9499999,16.0
1493934672.16278,9549999,15.0
1493935335.440001,9599999,14.0
1493935995.223278,9649999,15.0
1493936657.113761,9699999,13.0
1493937318.378032,9749999,17.0
1493937983.205097,9799999,15.0
1493938645.38049,9849999,17.0
1493939304.938272,9899999,15.0
1493939968.363542,9949999,20.0
1493940630.595407,9999999,13.0
1493941289.594308,10049999,17.0
1493941951.670022,10099999,13.0
1493942613.36602,10149999,16.0
1493943272.800097,10199999,13.0
1493943934.302901,10249999,13.0
1493944595.945219,10299999,16.0
1493945256.998109,10349999,12.0
1493945916.299779,10399999,13.0
1493946578.114287,10449999,16.0
1493947240.01531,10499999,12.0
1493947898.996801,10549999,18.0
1493948560.723967,10599999,17.0
1493949219.900166,10649999,18.0
1493949882.118205,10699999,18.0
1493950544.079629,10749999,15.0
