Wall time,Step,Value
1493808848.137044,99999,-20.0
1493809438.753007,149999,-20.0
1493810036.695116,199999,-20.0
1493810639.341322,249999,-20.0
1493811249.040471,299999,-20.0
1493811863.236192,349999,-20.0
1493812483.826587,399999,-20.0
1493813116.919377,449999,-20.0
1493813753.089554,499999,-20.0
1493814373.095556,549999,-20.0
1493814997.510509,599999,-20.0
1493815639.073002,649999,-20.0
1493816291.102849,699999,-20.0
1493816949.089566,749999,-20.0
1493817611.57987,799999,-20.0
1493818280.30241,849999,-20.0
1493818954.422154,899999,-20.0
1493819633.732349,949999,-20.0
1493820316.275322,999999,-20.0
1493821004.656572,1049999,-19.0
1493821706.6702,1099999,-20.0
1493822391.441618,1149999,-19.0
1493823077.717798,1199999,-19.0
1493823761.565338,1249999,-20.0
1493824448.226996,1299999,-19.0
1493825135.874538,1349999,-19.0
1493825823.534972,1399999,-19.0
1493826514.790179,1449999,-18.0
1493827204.985908,1499999,-18.0
1493827895.267514,1549999,-19.0
1493828589.811486,1599999,-18.0
1493829289.17748,1649999,-19.0
1493829968.562497,1699999,-18.0
1493830652.368248,1749999,-18.0
1493831336.255236,1799999,-18.0
1493832020.745085,1849999,-17.0
1493832707.799266,1899999,-18.0
1493833395.751254,1949999,-17.0
1493834086.066844,1999999,-17.0
1493834776.230511,2049999,-15.0
1493835464.747374,2099999,-17.0
1493836157.469127,2149999,-17.0
1493836857.906797,2199999,-16.0
1493837533.288529,2249999,-16.0
1493838199.8233,2299999,-19.0
1493838868.985431,2349999,-18.0
1493839538.064438,2399999,-17.0
1493840218.605763,2449999,-16.0
1493840888.393357,2499999,-18.0
1493841562.322048,2549999,-16.0
1493842238.166953,2599999,-15.0
1493842914.816287,2649999,-14.0
1493843591.645626,2699999,-14.0
1493844270.577892,2749999,-13.0
1493844949.159003,2799999,-14.0
1493845633.500121,2849999,-12.0
1493846324.344171,2899999,-13.0
1493846987.963296,2949999,-13.0
1493847650.192427,2999999,-15.0
1493848313.53865,3049999,-17.0
1493848968.3758,3099999,-13.0
1493849628.577108,3149999,-16.0
1493850287.246806,3199999,-17.0
1493850944.902554,3249999,-16.0
1493851600.715856,3299999,-18.0
1493852254.511604,3349999,-16.0
1493852908.484302,3399999,-16.0
1493853562.009036,3449999,-13.0
1493854215.934404,3499999,-12.0
1493854869.189467,3549999,-12.0
1493855524.277136,3599999,-13.0
1493856181.459901,3649999,-12.0
1493856836.062045,3699999,-16.0
1493857489.764075,3749999,-13.0
1493858144.461701,3799999,-16.0
1493858798.264321,3849999,-15.0
1493859453.240665,3899999,-13.0
1493860108.825889,3949999,-14.0
1493860763.344506,3999999,-18.0
1493861420.53556,4049999,-13.0
1493862076.999301,4099999,-13.0
1493862730.154319,4149999,-17.0
1493863386.868846,4199999,-16.0
1493864038.815765,4249999,-12.0
1493864694.048846,4299999,-15.0
1493865347.264564,4349999,-15.0
1493866003.344281,4399999,-13.0
