Wall time,Step,Value
1493801447.670166,99999,168.0
1493802030.753265,149999,168.0
1493802618.023426,199999,169.0
1493803214.729815,249999,171.0
1493803810.704249,299999,171.0
1493804411.692297,349999,173.0
1493805018.092387,399999,174.0
1493805625.99591,449999,171.0
1493806238.390679,499999,174.0
1493806857.713919,549999,170.0
1493807477.190047,599999,172.0
1493808103.468292,649999,170.0
1493808731.772207,699999,164.0
1493809364.408799,749999,163.0
1493810000.603659,799999,150.0
1493810640.627424,849999,138.0
1493811282.393554,899999,130.0
1493811927.089218,949999,119.0
1493812592.397433,999999,109.0
1493813259.452826,1049999,95.0
1493813927.576465,1099999,89.0
1493814583.333395,1149999,88.0
1493815235.960795,1199999,86.0
1493815888.277619,1249999,84.0
1493816539.717227,1299999,82.0
1493817189.465805,1349999,83.0
1493817839.686075,1399999,80.0
1493818493.080083,1449999,80.0
1493819146.054177,1499999,79.0
1493819797.133665,1549999,76.0
1493820452.688089,1599999,77.0
1493821105.127544,1649999,76.0
1493821759.17068,1699999,75.0
1493822418.684683,1749999,72.0
1493823110.293129,1799999,73.0
1493823808.583426,1849999,70.0
1493824506.107534,1899999,69.0
1493825185.803007,1949999,68.0
1493825865.200894,1999999,67.0
1493826543.527524,2049999,64.0
1493827222.037804,2099999,62.0
1493827902.181035,2149999,61.0
1493828581.453208,2199999,59.0
1493829260.261036,2249999,58.0
1493829938.094727,2299999,57.0
1493830617.719426,2349999,59.0
1493831298.457877,2399999,56.0
1493831979.483054,2449999,53.0
1493832657.54913,2499999,55.0
1493833338.613494,2549999,53.0
1493834017.216693,2599999,51.0
1493834696.702545,2649999,52.0
1493835366.009783,2699999,54.0
1493836044.571381,2749999,51.0
1493836722.636276,2799999,51.0
1493837402.866251,2849999,50.0
1493838080.971205,2899999,49.0
1493838758.495442,2949999,48.0
1493839436.788486,2999999,45.0
1493840115.371839,3049999,46.0
1493840793.383683,3099999,46.0
1493841470.893069,3149999,46.0
1493842148.486559,3199999,43.0
1493842826.207427,3249999,45.0
1493843503.344656,3299999,44.0
1493844181.771412,3349999,44.0
1493844859.128513,3399999,43.0
1493845535.228469,3449999,44.0
1493846215.183312,3499999,43.0
1493846894.347214,3549999,44.0
1493847557.367411,3599999,44.0
1493848217.624269,3649999,43.0
1493848878.433312,3699999,44.0
1493849512.44587,3749999,43.0
1493850139.093235,3799999,46.0
1493850767.563117,3849999,42.0
1493851395.382504,3899999,43.0
1493852023.489184,3949999,41.0
1493852650.031362,3999999,41.0
1493853277.635414,4049999,41.0
1493853904.618623,4099999,43.0
1493854532.69273,4149999,42.0
1493855161.029356,4199999,42.0
1493855787.342564,4249999,43.0
1493856414.873285,4299999,43.0
1493857042.128092,4349999,42.0
1493857670.368047,4399999,40.0
1493858298.282594,4449999,40.0
1493858926.81648,4499999,43.0
1493859553.915938,4549999,41.0
1493860181.949337,4599999,41.0
1493860809.507654,4649999,40.0
1493861436.198959,4699999,40.0
1493862062.041506,4749999,41.0
1493862690.280953,4799999,39.0
1493863320.135377,4849999,39.0
1493863946.992628,4899999,38.0
1493864576.668692,4949999,40.0
1493865203.904233,4999999,40.0
1493865833.943648,5049999,37.0
1493866462.519713,5099999,40.0
1493867091.307132,5149999,39.0
1493867719.792839,5199999,38.0
1493868346.800989,5249999,38.0
1493868975.080147,5299999,40.0
1493869603.094646,5349999,38.0
1493870232.022075,5399999,38.0
1493870859.028413,5449999,37.0
1493871486.698214,5499999,40.0
1493872114.00324,5549999,41.0
1493872742.203029,5599999,39.0
1493873371.144727,5649999,38.0
1493873999.823949,5699999,39.0
1493874629.572615,5749999,41.0
1493875257.399991,5799999,38.0
1493875885.641983,5849999,39.0
1493876515.326613,5899999,40.0
1493877145.110093,5949999,38.0
1493877773.858625,5999999,39.0
1493878402.452199,6049999,39.0
1493879031.092842,6099999,39.0
1493879659.93455,6149999,39.0
1493880290.032128,6199999,37.0
1493880918.414689,6249999,36.0
1493881546.746326,6299999,38.0
1493882174.502679,6349999,40.0
1493882802.94786,6399999,38.0
1493883432.13122,6449999,37.0
1493884059.76325,6499999,39.0
1493884686.007203,6549999,38.0
1493885313.736954,6599999,38.0
1493885941.398303,6649999,39.0
1493886569.308938,6699999,38.0
1493887197.862843,6749999,40.0
1493887829.047019,6799999,40.0
1493888458.213026,6849999,40.0
1493889086.777524,6899999,40.0
1493889714.68565,6949999,38.0
1493890343.785321,6999999,38.0
1493891004.59407,7049999,37.0
1493891676.523803,7099999,38.0
1493892351.247197,7149999,40.0
1493893024.982526,7199999,40.0
1493893700.608634,7249999,38.0
1493894376.109159,7299999,40.0
1493895051.067586,7349999,38.0
1493895726.173103,7399999,38.0
1493896401.372236,7449999,38.0
1493897074.393021,7499999,38.0
1493897750.745847,7549999,38.0
1493898425.723705,7599999,39.0
1493899104.038433,7649999,36.0
1493899780.242806,7699999,37.0
1493900458.044301,7749999,37.0
1493901134.708118,7799999,38.0
1493901808.619178,7849999,37.0
1493902486.010522,7899999,37.0
1493903162.661294,7949999,37.0
1493903836.219877,7999999,39.0
1493904513.7507,8049999,39.0
1493905190.010108,8099999,37.0
1493905866.669642,8149999,37.0
1493906542.795635,8199999,38.0
1493907217.559267,8249999,39.0
1493907893.752907,8299999,37.0
1493908571.686272,8349999,39.0
1493909247.061647,8399999,38.0
1493909925.153768,8449999,36.0
1493910600.580736,8499999,38.0
1493911274.624002,8549999,37.0
1493911955.570121,8599999,37.0
1493912631.170481,8649999,38.0
1493913310.126454,8699999,40.0
1493913987.27418,8749999,38.0
1493914665.666603,8799999,42.0
1493915344.972759,8849999,39.0
1493916003.262134,8899999,39.0
1493916658.717432,8949999,38.0
1493917314.641388,8999999,38.0
1493917964.622637,9049999,39.0
1493918614.245364,9099999,40.0
1493919265.710296,9149999,38.0
1493919919.449017,9199999,38.0
1493920571.771286,9249999,38.0
1493921224.615402,9299999,40.0
1493921877.297547,9349999,37.0
1493922529.41673,9399999,38.0
1493923183.138018,9449999,39.0
1493923839.393189,9499999,38.0
1493924492.304635,9549999,37.0
1493925144.120391,9599999,37.0
1493925783.695666,9649999,38.0
1493926437.341347,9699999,37.0
1493927087.018793,9749999,38.0
1493927732.682081,9799999,39.0
1493928379.463691,9849999,36.0
1493929025.266853,9899999,39.0
